Document Number,Document Title,FSC,Preparing Activity,Date,Notice Date,Amendment Date,Interim Amendment Date
FED-STD-191/2053,Small Amounts of Copper and Manganese in Textiles,8300,GL,20-Jul-1978,,,
FED-STD-191/2060,"Copper-8-Quinolinolate Content of Textiles, Spectrophotometr",8300,GL,20-Jul-1978,,,
FED-STD-191/2100,"Wool Content, Acid Method",8300,GL,20-Jul-1978,,,
FED-STD-191/2101,"Wool Content, Alkali Method",8300,GL,20-Jul-1978,,,
FED-STD-191/2102,"Wood Content, Hypochlorite Method",8300,GL,20-Jul-1978,,,
FED-STD-191/2110,Silk Content of Fiber Mixtures,8300,GL,20-Jul-1978,,,
FED-STD-191/2111,Silk Fiber Content of Silk Textiles (Especially Weighted Sil,8300,GL,20-Jul-1978,,,
FED-STD-191/2510,"Cellulose Acetate Content of Fiber Mixtures, Acetic Acid Met",8300,GL,20-Jul-1978,,,
FED-STD-191/2511,"Cellulose Acetate Content of Fiber Mixtures, Acetone Method",8300,GL,20-Jul-1978,,,
FED-STD-191/2530,Nylon Content of Fiber Mixtures,8300,GL,20-Jul-1978,,,
FED-STD-191/2535,Polyester Content of Fiber Mixtures,8300,GL,20-Jul-1978,,,
FED-STD-191/2600,"Moisture Content, Oven Method",8300,GL,20-Jul-1978,,,
FED-STD-191/2601,"Moisture Content, Oven-Balance Method",8300,GL,20-Jul-1978,,,
FED-STD-191/2610,"Nonfibrous Materials in Cotton, Acid Method",8300,GL,20-Jul-1978,,,
FED-STD-191/2611,"Nonfibrous Materials in Cotton, Enzyme Method",8300,GL,20-Jul-1978,,,
FED-STD-191/2620,Nonfibrous Materials in Linen Textiles,8300,GL,20-Jul-1978,,,
FED-STD-191/2800,"Wool Fiber Damage, Alkali Solubility Method",8300,GL,20-Jul-1978,,,
FED-STD-191/2810,"Acidity (pH) of Textiles, Colorimetric Method",8300,GL,20-Jul-1978,,,
FED-STD-191/2811,"pH of Textiles, Electrometric Method",8300,GL,20-Jul-1978,,,
FED-STD-191/2820,"Chitin Content of Textiles, As A Measure of Fungal Contamina",8300,GL,20-Jul-1978,,,
FED-STD-191/3810,Becker Value of Cordage Fiber,8300,GL,20-Jul-1978,,,
FED-STD-191/4010,Length-Weight Relation; Thread; Yarns Per Pound (M/K9),8300,GL,20-Jul-1978,,,
FED-STD-791/3722.2,Molybdenum Disulfide Content of Nonsoap Thickened Lubricatin,9100,MR,30-Sep-1986,,,
FED-STD-791/3807.1,"Wear Life of Dry, Solid-Film Lubricants",9100,MR,15-Jan-1969,,,
FED-STD-791/3812.1,"Load Carrying Capacity of Dry, Solid Film Lubricants",9100,MR,15-Jan-1969,,,
FED-STD-791/3814.1,"Corrosion by Dry, Solid-Film Lubricants in High Humidity",9100,MR,15-Jan-1969,,,
FED-STD-791/3816.1,Film Thickness of Dry Solid Film Lubricants,9100,MR,30-Sep-1986,,,
FED-STD-791/4001.3,"Corrosion Protection by Coating, Salt, Spray (Fog) Test",9100,MR,30-Sep-1986,,,
FED-STD-791/5003.2,Deposit-Forming Tendencies of Aircraft Turbine Lubricants,9100,MR,30-Sep-1986,,,
FED-STD-791/5050,Reaction Threshold Temperature,9100,MR,8-Mar-1972,,,
FED-STD-791/5101.7,Neutrality (Qualitative),9100,MR,30-Sep-1986,,,
FED-STD-791/5102.1,Acid and Base Number by Extraction (Color Indicator Titratio,9100,MR,30-Sep-1986,,,
FED-STD-791/6511.2,Load-Carrying Capacity of Lubricating Oils At 400 Degrees F,9100,MR,30-Sep-1986,,,
FED-STD-791/6516.2,Oscillation Test of Grease in Helicopter Bearings,9100,MR,30-Sep-1986,,,
FED-STD-791/6517,High-Temperature Gear Load-Carrying Capacity of Lubricating,9100,MR,30-Sep-1986,,,
FED-STD-791/6520.1,Extreme Pressure Properties of Lubricants (Four Ball Tester),9100,MR,30-Sep-1986,,,
FED-STD-791/7001.1,Fluid Resistance of Dry Solid Film Lubricants,9100,MR,15-Jan-1969,,,
FED-STD-791/8002,Sampling (Greases),9100,MR,31-Dec-1960,,,
FED-STD-791/9601.1,Inspection Requirements,9100,MR,30-Sep-1986,,,
FED-STD-791/10000,Material Handling Safety Precautions,9100,MR,30-Sep-1986,,,
FED-STD-793B,Depot Storage Standards,MISC,FSS,22-May-2006,,,
FED-STD-794Y,"Trucks: Medium Commercial 4x2 and 4x4, 9,500 to 16,000 KG (2",2320,FSS,1-Aug-2005,,,
FED-STD-795,Uniform Federal Accessibility Standard,FACR,HP,1-Apr-1988,,,
FED-STD-800,Terms Definitions and Symbols for Security Equipment and Pra,MISC,FSS,5-Jan-1989,,,
FED-STD-H28/1A,"Nomenclature, Definitions, and Letter Symbols for Screw-Thre",THDS,IS,28-Aug-1985,"Notice: 4 29-Aug-2006",,
FED-STD-191/4021,Yarn Number (Linear Density) of Yarn From Package,8300,GL,20-Jul-1978,,,
FED-STD-191/4050,"Direction of Twist, Yarn, Thread, Cordage",8300,GL,20-Jul-1978,,,
FED-STD-191/4052,Twist in Single Yarns,8300,GL,20-Jul-1978,,,
FED-STD-191/4054,Twist and Twist Contraction; Ply Yarns,8300,GL,20-Jul-1978,,,
FED-STD-191/4100,"Strength and Elongation, Breaking; and Tenacity; of Thread",8300,GL,20-Jul-1978,,,
FED-STD-191/4104,"Strength, Breaking of Thread and Yarn; Skein Method",8300,GL,20-Jul-1978,,,
FED-STD-191/4108,"Strength and Elongation, Breaking; Textile Webbing, Tape and",8300,GL,20-Jul-1978,,,
FED-STD-191/4110,Crimp in Yarns From Cloth; Dean-Load Method,8300,GL,20-Jul-1978,,,
FED-STD-191/4112,Crimp in Yards From Cloth; Load Elongation Method,8300,GL,20-Jul-1978,,,
FED-STD-191/4308,"Abrasion Resistance of Yarn, Thread, and Light Cordage; Unif",8300,GL,20-Jul-1978,,,
FED-STD-191/4500,"Water Absorption, Dynamic; Tumble Jar Method",8300,GL,20-Jul-1978,,,
FED-STD-191/4502,"Water Absorption, Thread, Cord, Braid, Tape, Webbing, Immers",8300,GL,20-Jul-1978,,,
FED-STD-191/4504,"Water Resistance, Vertical Rise Wicking, Thread",8300,GL,20-Jul-1978,,,
FED-STD-191/4800,"Weathering Resistance; Yarn, Cordage; Natural Weathering Met",8300,GL,20-Jul-1978,,,
FED-STD-191/4804,"Weathering Resistance; Yarn, Thread, Cordage; Accelerated We",8300,GL,20-Jul-1978,,,
FED-STD-191/4830,Leaching Resistance; Cordage; Standard Method,8300,GL,20-Jul-1978,,,
FED-STD-191/5512,"Water Resistance of Coated Cloth; High Range, Hydrostatic Pr",8300,GL,20-Jul-1978,,,
FED-STD-191/5514,"Water Resistance of Cloth; Low Range, Hydrostatic Pressure",8300,GL,20-Jul-1978,,,
FED-STD-191/5516,"Water Resistance of Cloth; Water Permeability, Hydrostatic",8300,GL,20-Jul-1978,,,
FED-STD-191/5518,Laundering Resistance of Cloth With Water Resistant Finish;,8300,GL,20-Jul-1978,,,
FED-STD-191/5519,"Laundering Test, Accelerated; for Labels",8300,GL,20-Jul-1978,,,
FED-STD-191/5520,Water Resistance of Cloth; Drop Penetration Method,8300,GL,20-Jul-1978,,,
FED-STD-191/5522,Water Resistance of Cloth; Water Impact Penetration Method,8300,GL,20-Jul-1978,,,
FED-STD-191/5524,Water Resistance of Cloth; Rain Penetration Method,8300,GL,20-Jul-1978,,,
FED-STD-191/5526,Water Resistance of Cloth With Hydrophobic Finish; Spray Met,8300,GL,20-Jul-1978,,,
FED-STD-H28/5,"Screw-Threads Standards for Federal Services, Section 5, Uni",THDS,IS,31-Mar-1978,"Notice: 2 29-Aug-2006",,
FED-STD-H28/6A,"Screw-Thread Standards For Federal Services, Section 6 Gages",THDS,IS,5-Mar-1985,"Notice: 4 29-Aug-2006",,
FED-STD-H28/7A,Screw-Thread Standards for Federal Services Section 7 Pipe T,THDS,IS,25-Oct-1984,"Notice: 2 29-Aug-2006",,
FED-STD-H28/8B,Screw-Thread Standards For Federal Servoces Section 8 Drysea,THDS,IS,10-Jun-1992,"Notice: 3 29-Aug-2006",,
FED-STD-H28/9A,Screw-Thread Standards For Federal Services Section 9 Gas Cy,THDS,IS,24-Mar-1989,"Notice: 4 29-Aug-2006",,
FED-STD-H28/11,"Screw Thread Standards For Federal Services, Section 11, Hos",THDS,IS,31-Mar-1978,"Notice: 3 29-Aug-2006",,
FED-STD-H28/12A,Screw-Thread Standards For Federal Services Section 12 Acme,THDS,IS,20-Sep-1989,"Notice: 3 29-Aug-2006",,
FED-STD-H28/13A,"Screw-Thread Standards for Federal Services, Section 13, Stu",THDS,IS,17-Feb-1989,"Notice: 4 29-Aug-2006",,
FED-STD-H28/16,Screw Thread Standards For Federal Services Section 16 Micro,THDS,IS,31-Mar-1978,"Notice: 3 29-Aug-2006",,
FED-STD-H28/17A,"Screw-Thread Standards for Federal Services, Section 17 Sur",THDS,IS,25-Jan-1985,"Notice: 2 29-Aug-2006",,
FED-STD-H28/18B,Screw-Thread Standards For Federal Services Section 18 Photo,THDS,IS,20-Aug-1991,"Notice: 3 29-Aug-2006",,
FED-STD-H28/19A,"Screw Thread Standards For Federal Services, Section 19, Mis",THDS,IS,18-Feb-1988,,,
FED-STD-H28/20B,"Inspection Methods for Acceptability of UN, UNR, UNJ, M, and",THDS,IS,10-Mar-1994,"Notice: 2 29-Aug-2006",,
FED-STD-H28/22A,Screw-Thread Standards for Federal Services Section 22 Gages,THDS,IS,5-Nov-1987,"Notice: 3 29-Aug-2006",,
FED-STD-H28/23,Screw-Thread Standards For Federal Services Section 23 Class,THDS,IS,20-Jan-1989,"Notice: 1 10-Sep-2001",,
FED-STD-H28A/GEN,Federal Screw-Thread Standards for Federal Services,THDS,IS,28-Dec-1994,,,
FED-STD-191/5528,Water Resistance of Coated Cloth; Spray Method,8300,GL,20-Jul-1978,,,
FED-STD-191/5530,Penetration Resistance of Cloth to Passage of Feathers and,8300,GL,20-Jul-1978,,,
FED-STD-191/5550,"Shrinkage in Laundering; Cotton, Linen, and Blended Cotton",8300,GL,20-Jul-1978,,,
FED-STD-191/5552,Shrinkage in Laundering; Cloth Other Than Cotton and Linen,8300,GL,20-Jul-1978,,,
